946.5064,539.1937,292.2383,137.2079,71.757,41.2553,PVC_RED
942.4266,537.159,291.1056,137.2079,70.7604,41.2553,PVC_RED
6221.6479,2637.9797,1378.504,632.3077,389.6802,215.7062,PVC_RED
6078.856,2600.3379,1347.9209,619.8343,381.7072,213.3488,PVC_RED
6097.8945,2612.5461,1354.7172,622.7128,383.7005,213.3488,PVC_RED
6565.7085,2696.9858,1440.8029,653.4166,402.6364,219.2424,PVC_RED
6497.7119,2679.6909,1428.343,648.6191,398.6499,218.0637,PVC_RED
6316.8423,2635.9451,1389.8311,634.2267,390.6768,214.5275,PVC_RED
6213.4883,2637.9797,1378.504,632.3077,389.6802,215.7062,PVC_RED
990.0239,555.4713,300.1673,141.0459,73.7502,42.434,PVC_RED
